mac,time,9c:d9:17:88:77:93,9c:d9:17:86:63:97,14:1a:a3:db:32:14,zone
00:c1:41:34:13:37,2015-12-30 17:47:30,-38,-40,-58,F,
00:c1:41:34:13:37,2015-12-30 17:47:50,-36,-42,-100,F,
00:c1:41:34:13:37,2015-12-30 17:48:50,-38,-42,-56,F,
00:c1:41:34:13:37,2015-12-30 17:49:20,-38,-42,-56,F,
00:c1:41:34:13:37,2015-12-30 17:49:30,-38,-44,-54,F,
00:c1:41:34:13:37,2015-12-30 17:49:50,-38,-42,-100,F,
00:c1:41:34:13:37,2015-12-30 17:50:00,-38,-40,-52,F,
00:c1:41:34:13:37,2015-12-30 17:51:00,-38,-42,-52,F,
00:e0:4c:39:96:46,2015-12-30 17:51:10,-70,-100,-100,F,RealtekS
00:e0:70:16:e7:da,2015-12-30 17:33:00,-100,-70,-100,F,DhTechno
00:e0:70:16:e7:da,2015-12-30 17:46:10,-100,-72,-100,F,DhTechno
00:e0:70:16:e7:da,2015-12-30 17:56:00,-100,-70,-100,F,DhTechno
00:f7:6f:79:89:55,2015-12-30 17:37:00,-32,-42,-100,F,Apple
00:f7:6f:79:89:55,2015-12-30 17:41:40,-28,-44,-100,F,Apple
00:f7:6f:79:89:55,2015-12-30 17:53:40,-30,-30,-40,C,Apple
00:f7:6f:79:89:55,2015-12-30 17:55:30,-32,-28,-36,C,Apple
04:3d:98:a2:f7:a4,2015-12-30 17:32:20,-100,-68,-100,F,Chongqin
04:48:9a:c3:e2:6b,2015-12-30 17:47:20,-100,-66,-100,F,Apple
04:48:9a:c3:e2:6b,2015-12-30 17:47:50,-100,-70,-100,F,Apple
04:4b:ed:09:6b:ae,2015-12-30 17:35:10,-64,-46,-40,A,
04:4b:ed:09:6b:ae,2015-12-30 17:35:20,-100,-46,-100,F,
04:4b:ed:09:6b:ae,2015-12-30 17:50:30,-50,-50,-34,A,
06:0e:27:f6:39:e6,2015-12-30 17:35:30,-100,-70,-100,F,
08:10:75:23:93:d8,2015-12-30 17:30:00,-100,-68,-100,F,
08:10:75:23:93:d8,2015-12-30 17:30:10,-100,-78,-100,F,
08:10:75:23:93:d8,2015-12-30 17:30:20,-100,-74,-100,F,
08:10:75:23:93:d8,2015-12-30 17:30:30,-100,-78,-100,F,
08:10:75:23:93:d8,2015-12-30 17:31:00,-100,-74,-100,F,
08:10:75:23:93:d8,2015-12-30 17:31:10,-100,-76,-100,F,
08:10:75:23:93:d8,2015-12-30 17:31:20,-100,-74,-100,F,
08:10:75:23:93:d8,2015-12-30 17:31:30,-100,-72,-100,F,
08:10:75:23:93:d8,2015-12-30 17:31:50,-100,-76,-100,F,
08:10:75:23:93:d8,2015-12-30 17:32:00,-100,-76,-100,F,
08:10:75:23:93:d8,2015-12-30 17:32:20,-100,-74,-100,F,
08:10:75:23:93:d8,2015-12-30 17:32:50,-100,-70,-100,F,
08:10:75:23:93:d8,2015-12-30 17:33:00,-100,-70,-100,F,
08:10:75:23:93:d8,2015-12-30 17:33:30,-100,-74,-100,F,
08:10:75:23:93:d8,2015-12-30 17:33:40,-100,-68,-100,F,
08:10:75:23:93:d8,2015-12-30 17:33:50,-100,-70,-100,F,
08:10:75:23:93:d8,2015-12-30 17:34:00,-100,-74,-100,F,
08:10:75:23:93:d8,2015-12-30 17:34:10,-100,-72,-100,F,
08:10:75:23:93:d8,2015-12-30 17:34:20,-100,-76,-100,F,
08:10:75:23:93:d8,2015-12-30 17:34:40,-100,-78,-100,F,
08:10:75:23:93:d8,2015-12-30 17:34:50,-100,-76,-100,F,
08:10:75:23:93:d8,2015-12-30 17:35:00,-100,-70,-100,F,
08:10:75:23:93:d8,2015-12-30 17:35:10,-100,-76,-100,F,
08:10:75:23:93:d8,2015-12-30 17:35:20,-100,-72,-100,F,
08:10:75:23:93:d8,2015-12-30 17:36:30,-100,-72,-100,F,
08:10:75:23:93:d8,2015-12-30 17:36:40,-100,-76,-100,F,
08:10:75:23:93:d8,2015-12-30 17:37:30,-100,-76,-100,F,
08:10:75:23:93:d8,2015-12-30 17:39:00,-100,-76,-100,F,
08:10:75:23:93:d8,2015-12-30 17:40:00,-100,-76,-100,F,
08:10:75:23:93:d8,2015-12-30 17:40:30,-100,-74,-100,F,
08:10:75:23:93:d8,2015-12-30 17:41:00,-100,-76,-100,F,
08:10:75:23:93:d8,2015-12-30 17:41:10,-100,-76,-100,F,
08:10:75:23:93:d8,2015-12-30 17:41:20,-100,-74,-100,F,
08:10:75:23:93:d8,2015-12-30 17:41:40,-100,-76,-100,F,
08:10:75:23:93:d8,2015-12-30 17:41:50,-100,-78,-100,F,
08:10:75:23:93:d8,2015-12-30 17:42:10,-100,-76,-100,F,
08:10:75:23:93:d8,2015-12-30 17:42:20,-100,-76,-100,F,
08:10:75:23:93:d8,2015-12-30 17:42:40,-100,-74,-100,F,
08:10:75:23:93:d8,2015-12-30 17:44:00,-100,-72,-100,F,
08:10:75:23:93:d8,2015-12-30 17:44:10,-100,-78,-100,F,
08:10:75:23:93:d8,2015-12-30 17:44:30,-100,-74,-100,F,
08:10:75:23:93:d8,2015-12-30 17:44:50,-100,-66,-100,F,
08:10:75:23:93:d8,2015-12-30 17:45:00,-74,-74,-100,F,
08:10:75:23:93:d8,2015-12-30 17:45:50,-76,-100,-100,F,
08:10:75:23:93:d8,2015-12-30 17:46:00,-74,-100,-100,F,
08:10:75:23:93:d8,2015-12-30 17:46:20,-72,-100,-100,F,
08:10:75:23:93:d8,2015-12-30 17:46:50,-76,-72,-100,F,
08:10:75:23:93:d8,2015-12-30 17:47:10,-72,-100,-100,F,
08:10:75:23:93:d8,2015-12-30 17:47:20,-74,-100,-100,F,
08:10:75:23:93:d8,2015-12-30 17:47:30,-72,-100,-100,F,
08:10:75:23:93:d8,2015-12-30 17:47:50,-78,-100,-100,F,
08:10:75:23:93:d8,2015-12-30 17:48:00,-76,-74,-100,F,
08:10:75:23:93:d8,2015-12-30 17:48:20,-74,-100,-100,F,
08:10:75:23:93:d8,2015-12-30 17:48:30,-78,-100,-100,F,
08:10:75:23:93:d8,2015-12-30 17:48:40,-70,-76,-100,F,
08:10:75:23:93:d8,2015-12-30 17:48:50,-70,-100,-100,F,
08:10:75:23:93:d8,2015-12-30 17:49:00,-74,-100,-100,F,
08:10:75:23:93:d8,2015-12-30 17:49:20,-100,-76,-100,F,
08:10:75:23:93:d8,2015-12-30 17:51:10,-76,-74,-100,F,
08:10:75:23:93:d8,2015-12-30 17:51:20,-74,-100,-100,F,
08:10:75:23:93:d8,2015-12-30 17:51:30,-74,-78,-100,F,
08:10:75:23:93:d8,2015-12-30 17:51:40,-72,-76,-100,F,
08:10:75:23:93:d8,2015-12-30 17:51:50,-70,-76,-100,F,
08:10:75:23:93:d8,2015-12-30 17:52:30,-100,-72,-100,F,
08:10:75:23:93:d8,2015-12-30 17:53:00,-70,-74,-100,F,
08:10:75:23:93:d8,2015-12-30 17:53:10,-72,-72,-100,F,
08:10:75:23:93:d8,2015-12-30 17:53:20,-100,-72,-100,F,
08:10:75:23:93:d8,2015-12-30 17:53:30,-70,-100,-100,F,
08:10:75:23:93:d8,2015-12-30 17:53:40,-72,-100,-100,F,
08:10:75:23:93:d8,2015-12-30 17:54:00,-72,-100,-100,F,
08:10:75:23:93:d8,2015-12-30 17:54:10,-72,-100,-100,F,
08:10:75:23:93:d8,2015-12-30 17:54:20,-70,-100,-100,F,
08:10:75:23:93:d8,2015-12-30 17:54:30,-100,-76,-100,F,
08:10:75:23:93:d8,2015-12-30 17:54:50,-70,-74,-100,F,
08:10:75:23:93:d8,2015-12-30 17:55:00,-70,-74,-100,F,
08:10:75:23:93:d8,2015-12-30 17:55:20,-76,-76,-100,F,
08:10:75:23:93:d8,2015-12-30 17:55:50,-100,-72,-100,F,
08:10:75:23:93:d8,2015-12-30 17:56:00,-76,-74,-100,F,
08:10:75:23:93:d8,2015-12-30 17:56:10,-76,-100,-100,F,
08:10:75:23:93:d8,2015-12-30 17:56:20,-100,-72,-100,F,
08:10:75:23:93:d8,2015-12-30 17:56:30,-74,-76,-100,F,
08:10:75:23:93:d8,2015-12-30 17:56:40,-100,-74,-100,F,
08:10:75:23:93:d8,2015-12-30 17:56:50,-78,-72,-100,F,
08:10:75:23:93:d8,2015-12-30 17:57:00,-74,-68,-100,F,
08:10:75:23:93:d8,2015-12-30 17:57:10,-78,-74,-100,F,
08:10:75:23:93:d8,2015-12-30 17:57:20,-100,-70,-100,F,
